Penguin Capitalist - Historical Backtest Log
  TrendPenguin: SELL 1 BE @ $157.85
  TrendPenguin: SELL 1 MSTR @ $129.79
  TrendPenguin: SELL 1 MSFT @ $396.97
  TrendPenguin: BUY 1 TSLA @ $411.69
  TrendPenguin: SELL 1 GLD @ $461.48
  TrendPenguin: BUY 1 SLV @ $73.01

Bar 13:
  RandomPenguin: BUY 1 NVDA @ $187.44
  RandomPenguin: BUY 1 AAPL @ $259.86
  RandomPenguin: SELL 1 PLTR @ $134.52
  RandomPenguin: BUY 1 AMD @ $202.49
  RandomPenguin: BUY 1 BE @ $158.25
  RandomPenguin: BUY 1 MSTR @ $129.93
  RandomPenguin: BUY 1 TSLA @ $411.56
  RandomPenguin: BUY 1 GLD @ $462.36
  RandomPenguin2: BUY 1 NVDA @ $187.44
  RandomPenguin2: BUY 1 AAPL @ $259.86
  RandomPenguin2: SELL 1 PLTR @ $134.52
  RandomPenguin2: BUY 1 AMD @ $202.49
  RandomPenguin2: SELL 1 BE @ $157.93
  RandomPenguin2: BUY 1 MSFT @ $397.90
  RandomPenguin2: SELL 1 NVO @ $47.84
  RandomPenguin2: SELL 1 SLV @ $72.84
  TrendPenguin: BUY 1 NVDA @ $187.44
  TrendPenguin: SELL 1 PLTR @ $134.52
  TrendPenguin: BUY 1 AMD @ $202.49
  TrendPenguin: BUY 1 BE @ $158.25
  TrendPenguin: BUY 1 MSFT @ $397.90
  TrendPenguin: SELL 1 TSLA @ $410.74
  TrendPenguin: SELL 1 NVO @ $47.84
  TrendPenguin: SELL 1 SLV @ $72.84

Bar 14:
  MeanReversionPenguin: BUY 1 BE @ $157.91
  MeanReversionPenguin: BUY 1 MSTR @ $129.98
  RandomPenguin: BUY 1 NVDA @ $187.44
  RandomPenguin: SELL 1 AAPL @ $259.24
  RandomPenguin: BUY 1 AMD @ $202.45
  RandomPenguin: SELL 1 BE @ $157.59
  RandomPenguin: BUY 1 MSTR @ $129.98
  RandomPenguin: BUY 1 LMT @ $673.02
  RandomPenguin: BUY 1 SIL @ $104.17
  RandomPenguin2: BUY 1 AAPL @ $259.76
  RandomPenguin2: BUY 1 PLTR @ $134.84
  RandomPenguin2: BUY 1 BE @ $157.91
  RandomPenguin2: BUY 1 MSTR @ $129.98
  RandomPenguin2: SELL 1 MSFT @ $397.10
  RandomPenguin2: SELL 1 TSLA @ $410.74
  RandomPenguin2: BUY 1 LMT @ $673.02
  RandomPenguin2: BUY 1 GLD @ $462.34
  RandomPenguin2: BUY 1 SLV @ $72.97
  RSI Mean Reversion: BUY 1 BE @ $157.91
  RSI Mean Reversion: BUY 1 MSTR @ $129.98
  TrendPenguin: BUY 1 PLTR @ $134.84
  TrendPenguin: SELL 1 AMD @ $202.05
  TrendPenguin: SELL 1 BE @ $157.59
  TrendPenguin: BUY 1 MSTR @ $129.98
  TrendPenguin: BUY 1 LMT @ $673.02
  TrendPenguin: BUY 1 SIL @ $104.17

Bar 15:
  CarefulTrendPenguin: BUY 1 PLTR @ $134.97
  MeanReversionPenguin: BUY 1 BE @ $158.11
  MeanReversionPenguin: BUY 1 TSLA @ $411.92
  RandomPenguin: BUY 1 NVDA @ $187.52
  RandomPenguin: BUY 1 AMD @ $202.49
  RandomPenguin: SELL 1 MSTR @ $129.67
  RandomPenguin: SELL 1 GLD @ $461.43
  RandomPenguin: SELL 1 SLV @ $72.86
  RandomPenguin2: BUY 1 NVDA @ $187.52
  RandomPenguin2: BUY 1 AMD @ $202.49
  RandomPenguin2: BUY 1 BE @ $158.11
  RandomPenguin2: BUY 1 MSTR @ $129.93
  RandomPenguin2: BUY 1 MSFT @ $398.01
  RandomPenguin2: BUY 1 TSLA @ $411.92
  RandomPenguin2: BUY 1 NVO @ $47.98
  RandomPenguin2: SELL 1 GLD @ $461.43
  RandomPenguin2: SELL 1 SLV @ $72.86
  RSI Mean Reversion: BUY 1 TSLA @ $411.92
  TrendPenguin: BUY 1 NVDA @ $187.52
  TrendPenguin: BUY 1 AAPL @ $259.83
  TrendPenguin: BUY 1 PLTR @ $134.97
  TrendPenguin: BUY 1 AMD @ $202.49
  TrendPenguin: BUY 1 BE @ $158.11
  TrendPenguin: SELL 1 MSTR @ $129.67
  TrendPenguin: BUY 1 MSFT @ $398.01
  TrendPenguin: BUY 1 TSLA @ $411.92
  TrendPenguin: BUY 1 NVO @ $47.98
  TrendPenguin: BUY 1 SLV @ $73.00

Bar 16:
  CarefulTrendPenguin: BUY 1 PLTR @ $135.05
  MeanReversionPenguin: BUY 1 AAPL @ $259.88
  MeanReversionPenguin: BUY 1 BE @ $157.91
  MeanReversionPenguin: BUY 1 REMX @ $89.39
  RandomPenguin: SELL 1 AMD @ $202.05
  RandomPenguin: SELL 1 BE @ $157.59
  RandomPenguin: SELL 1 MSTR @ $129.86
  RandomPenguin: BUY 1 MSFT @ $397.98
  RandomPenguin: BUY 1 TSLA @ $411.83
  RandomPenguin: BUY 1 NVO @ $47.99
  RandomPenguin: SELL 1 GLD @ $461.52
  RandomPenguin: BUY 1 SLV @ $73.00
  RandomPenguin2: BUY 1 AAPL @ $259.88
  RandomPenguin2: SELL 1 PLTR @ $134.78
  RandomPenguin2: BUY 1 AMD @ $202.45
  RandomPenguin2: SELL 1 MSFT @ $397.18
  RandomPenguin2: SELL 1 TSLA @ $411.01
  RandomPenguin2: BUY 1 NVO @ $47.99
  RandomPenguin2: BUY 1 GLD @ $462.44
  RandomPenguin2: BUY 1 PPLT @ $193.19
  RSI Mean Reversion: BUY 1 AAPL @ $259.88
  RSI Mean Reversion: BUY 1 REMX @ $89.39
  TrendPenguin: SELL 1 NVDA @ $187.12
  TrendPenguin: BUY 1 AAPL @ $259.88
  TrendPenguin: SELL 1 AMD @ $202.05
  TrendPenguin: SELL 1 BE @ $157.59
  TrendPenguin: BUY 1 MSTR @ $130.12
  TrendPenguin: SELL 1 MSFT @ $397.18
  TrendPenguin: SELL 1 TSLA @ $411.01
  TrendPenguin: BUY 1 NVO @ $47.99
  TrendPenguin: BUY 1 GLD @ $462.44
  TrendPenguin: BUY 1 PPLT @ $193.19

Bar 17:
  CarefulTrendPenguin: BUY 1 PLTR @ $135.13
  RandomPenguin: SELL 1 AMD @ $202.06
  RandomPenguin: BUY 1 TSLA @ $411.91
  RandomPenguin: BUY 1 SLV @ $73.04
  RandomPenguin: BUY 1 SIL @ $104.17
  RandomPenguin2: SELL 1 AAPL @ $259.59
  RandomPenguin2: BUY 1 AMD @ $202.46
  RandomPenguin2: BUY 1 GLD @ $462.67
  TrendPenguin: BUY 1 NVDA @ $187.53
  TrendPenguin: BUY 1 AAPL @ $260.11

Bar 18:
  CarefulTrendPenguin: BUY 1 PLTR @ $135.20
  CarefulTrendPenguin: BUY 1 MSTR @ $130.28
  CarefulTrendPenguin: BUY 1 GLD @ $462.71
  MeanReversionPenguin: BUY 1 MP @ $58.16
  RandomPenguin: BUY 1 PLTR @ $135.20
  RandomPenguin: SELL 1 AMD @ $202.30
  RandomPenguin: SELL 1 MSTR @ $130.02
  RandomPenguin: SELL 1 TSLA @ $411.35
  RandomPenguin: SELL 1 GLD @ $461.79
  RandomPenguin2: BUY 1 MSTR @ $130.28
  RSI Mean Reversion: BUY 1 MP @ $58.16
  TrendPenguin: SELL 1 NVDA @ $187.09
  TrendPenguin: BUY 1 PLTR @ $135.20
  TrendPenguin: SELL 1 MSFT @ $397.18
  TrendPenguin: BUY 1 TSLA @ $412.17

Bar 19:
  BreakoutPenguin: BUY 1 NVDA @ $187.45
  BreakoutPenguin: BUY 1 PLTR @ $135.28
  BreakoutPenguin: BUY 1 AMD @ $202.82
  BreakoutPenguin: BUY 1 MSFT @ $398.08
  BreakoutPenguin: BUY 1 LMT @ $672.62
  BreakoutPenguin: BUY 1 GLD @ $462.74
  BreakoutPenguin: BUY 1 SLV @ $73.07
  BreakoutPenguin: BUY 1 GDXJ @ $139.05
  CarefulTrendPenguin: BUY 1 PLTR @ $135.28
  CarefulTrendPenguin: BUY 1 AMD @ $202.82
  CarefulTrendPenguin: BUY 1 MSTR @ $130.30
  CarefulTrendPenguin: BUY 1 GLD @ $462.74
  MeanReversionPenguin: BUY 1 COPX @ $86.07
  RandomPenguin: SELL 1 NVDA @ $187.07
  RandomPenguin: BUY 1 AMD @ $202.82
  RandomPenguin: BUY 1 MSFT @ $398.08
  RandomPenguin: SELL 1 TSLA @ $411.26
  RandomPenguin: SELL 1 SLV @ $72.93
  RandomPenguin2: SELL 1 MSTR @ $130.04
  RandomPenguin2: SELL 1 MSFT @ $397.29
  RandomPenguin2: BUY 1 TSLA @ $412.09
  RandomPenguin2: SELL 1 NVO @ $47.86
  RandomPenguin2: BUY 1 SLV @ $73.07
  RandomPenguin2: BUY 1 COPX @ $86.07
  RSI Mean Reversion: BUY 1 COPX @ $86.07
  TrendPenguin: SELL 1 NVDA @ $187.07
  TrendPenguin: BUY 1 PLTR @ $135.28
  TrendPenguin: SELL 1 TSLA @ $411.26
  TrendPenguin: SELL 1 LMT @ $671.28
  TrendPenguin: SELL 1 NVO @ $47.86
  TrendPenguin: BUY 1 GLD @ $462.74
  TrendPenguin: BUY 1 GDXJ @ $139.05
  Volatility Breakout: BUY 1 NVDA @ $187.45
  Volatility Breakout: BUY 1 PLTR @ $135.28
  Volatility Breakout: BUY 1 AMD @ $202.82
  Volatility Breakout: BUY 1 MSFT @ $398.08
  Volatility Breakout: BUY 1 TSLA @ $412.09

Bar 20:
  BreakoutPenguin: BUY 1 NVDA @ $187.46
  BreakoutPenguin: BUY 1 AMD @ $202.90
  BreakoutPenguin: BUY 1 MSTR @ $130.40
  BreakoutPenguin: BUY 1 MSFT @ $398.08
  BreakoutPenguin: BUY 1 GLD @ $462.56
  BreakoutPenguin: SELL 1 SLV @ $72.87
  BreakoutPenguin: BUY 1 PPLT @ $193.72
  CarefulTrendPenguin: BUY 1 PLTR @ $135.13
  CarefulTrendPenguin: BUY 1 AMD @ $202.90
  CarefulTrendPenguin: BUY 1 MSTR @ $130.40
  CarefulTrendPenguin: BUY 1 GLD @ $462.56
  Moving Average Crossover: BUY 1 AAPL @ $260.11
  RandomPenguin: SELL 1 NVDA @ $187.08
  RandomPenguin: SELL 1 PLTR @ $134.87
  RandomPenguin: BUY 1 MSTR @ $130.40
  RandomPenguin: BUY 1 MSFT @ $398.08
  RandomPenguin: BUY 1 TSLA @ $411.92
  RandomPenguin: BUY 1 SLV @ $73.01
  RandomPenguin2: SELL 1 AAPL @ $259.59
  RandomPenguin2: BUY 1 AMD @ $202.90
  RandomPenguin2: SELL 1 SLV @ $72.87
  RandomPenguin2: SELL 1 PPLT @ $193.34
  TrendPenguin: BUY 1 NVDA @ $187.46
  TrendPenguin: SELL 1 PLTR @ $134.87
  TrendPenguin: BUY 1 AMD @ $202.90
  TrendPenguin: BUY 1 MSTR @ $130.40
  TrendPenguin: SELL 1 TSLA @ $411.10
  TrendPenguin: SELL 1 GLD @ $461.64
  TrendPenguin: SELL 1 SLV @ $72.87
  TrendPenguin: BUY 1 PPLT @ $193.72
  Volatility Breakout: SELL 1 NVDA @ $187.08
  Volatility Breakout: BUY 1 MSTR @ $130.40
  Volatility Breakout: BUY 1 PPLT @ $193.72

Bar 21:
  BreakoutPenguin: BUY 1 NVDA @ $187.44
  BreakoutPenguin: BUY 1 MSTR @ $130.35
  BreakoutPenguin: BUY 1 MSFT @ $398.00
  BreakoutPenguin: BUY 1 NVO @ $47.96
  BreakoutPenguin: BUY 1 GLD @ $462.56
  CarefulTrendPenguin: BUY 1 MSTR @ $130.35
  RandomPenguin: BUY 1 AAPL @ $260.08
  RandomPenguin: BUY 1 PLTR @ $135.05
  RandomPenguin: SELL 1 MSFT @ $397.20
  RandomPenguin: BUY 1 TSLA @ $411.71
  RandomPenguin: BUY 1 NVO @ $47.96
  RandomPenguin: BUY 1 SLV @ $72.88
  RandomPenguin2: BUY 1 NVDA @ $187.44
  RandomPenguin2: SELL 1 MSTR @ $130.09
  RandomPenguin2: BUY 1 NVO @ $47.96
  RandomPenguin2: SELL 1 COPX @ $86.11
  TrendPenguin: SELL 1 NVDA @ $187.06
  TrendPenguin: SELL 1 AAPL @ $259.56
  TrendPenguin: SELL 1 PLTR @ $134.78
  TrendPenguin: SELL 1 MSTR @ $130.09
  TrendPenguin: BUY 1 LMT @ $672.94
  TrendPenguin: BUY 1 COPX @ $86.29
  TrendPenguin: SELL 1 GDXJ @ $138.66
  Volatility Breakout: BUY 1 NVDA @ $187.44
  Volatility Breakout: SELL 1 MSFT @ $397.20
  Volatility Breakout: BUY 1 LMT @ $672.94
  Volatility Breakout: BUY 1 NVO @ $47.96
  Volatility Breakout: BUY 1 GLD @ $462.56

Bar 22:
  BreakoutPenguin: SELL 1 NVDA @ $187.02
  BreakoutPenguin: SELL 1 MSFT @ $397.05
  BreakoutPenguin: BUY 1 NVO @ $47.95
  BreakoutPenguin: BUY 1 GLD @ $462.48
  RandomPenguin: BUY 1 NVDA @ $187.40
  RandomPenguin: BUY 1 MSTR @ $130.19
  RandomPenguin: SELL 1 NVO @ $47.85
  RandomPenguin2: BUY 1 AAPL @ $260.09
  RandomPenguin2: SELL 1 MSTR @ $129.93
  RandomPenguin2: SELL 1 TSLA @ $410.77
  RandomPenguin2: SELL 1 NVO @ $47.85
  RandomPenguin2: BUY 1 GLD @ $462.48
  TrendPenguin: BUY 1 AAPL @ $260.09
  TrendPenguin: BUY 1 PLTR @ $135.08
  TrendPenguin: SELL 1 MSTR @ $129.93
  TrendPenguin: SELL 1 NVO @ $47.85
  TrendPenguin: SELL 1 GLD @ $461.56
  TrendPenguin: BUY 1 SLV @ $72.92
  Volatility Breakout: SELL 1 NVDA @ $187.02
  Volatility Breakout: BUY 1 AAPL @ $260.09
  Volatility Breakout: BUY 1 MSFT @ $397.85
  Volatility Breakout: SELL 1 TSLA @ $410.77
  Volatility Breakout: SELL 1 NVO @ $47.85
  Volatility Breakout: SELL 1 GLD @ $461.56

Bar 23:
  BreakoutPenguin: SELL 1 NVDA @ $187.16
  BreakoutPenguin: BUY 1 AAPL @ $260.20
  BreakoutPenguin: SELL 1 MSTR @ $129.70
  BreakoutPenguin: SELL 1 MSFT @ $397.02
  BreakoutPenguin: SELL 1 NVO @ $47.83
  BreakoutPenguin: BUY 1 GLD @ $462.56
  CarefulTrendPenguin: SELL 6 PLTR @ $134.76
  CarefulTrendPenguin: SELL 4 MSTR @ $129.70
  RandomPenguin: SELL 1 AAPL @ $259.68
  RandomPenguin: BUY 1 AMD @ $202.60
  RandomPenguin: SELL 1 MSFT @ $397.02
  RandomPenguin: BUY 1 TSLA @ $411.66
  RandomPenguin: SELL 1 NVO @ $47.83
  RandomPenguin: BUY 1 SLV @ $72.96
  RandomPenguin2: BUY 1 MSTR @ $129.96
  RandomPenguin2: BUY 1 NVO @ $47.93
  TrendPenguin: BUY 1 NVDA @ $187.54
  TrendPenguin: BUY 1 AAPL @ $260.20
  TrendPenguin: SELL 1 PLTR @ $134.76
  TrendPenguin: SELL 1 AMD @ $202.20
  TrendPenguin: BUY 1 BE @ $158.29
  TrendPenguin: BUY 1 TSLA @ $411.66
  TrendPenguin: BUY 1 GLD @ $462.56
  TrendPenguin: BUY 1 SLV @ $72.96
  Volatility Breakout: BUY 1 NVDA @ $187.54
  Volatility Breakout: SELL 1 MSTR @ $129.70
  Volatility Breakout: SELL 1 MSFT @ $397.02
  Volatility Breakout: BUY 1 GLD @ $462.56

Bar 24:
  BreakoutPenguin: SELL 1 NVDA @ $187.07
  BreakoutPenguin: BUY 1 AAPL @ $260.13
  BreakoutPenguin: SELL 1 MSTR @ $129.53
  BreakoutPenguin: SELL 1 MSFT @ $397.00
  BreakoutPenguin: SELL 1 NVO @ $47.84
  BreakoutPenguin: BUY 1 GLD @ $462.71
  RandomPenguin: SELL 1 NVDA @ $187.07
  RandomPenguin: BUY 1 AAPL @ $260.13
  RandomPenguin: SELL 1 AMD @ $202.17
  RandomPenguin: SELL 1 MSFT @ $397.00
  RandomPenguin: BUY 1 GLD @ $462.71
  RandomPenguin: BUY 1 SLV @ $72.95
  RandomPenguin2: SELL 1 AMD @ $202.17
  RandomPenguin2: BUY 1 NVO @ $47.94
  TrendPenguin: SELL 1 NVDA @ $187.07
  TrendPenguin: SELL 1 AAPL @ $259.61
  TrendPenguin: BUY 1 PLTR @ $135.07
  TrendPenguin: SELL 1 TSLA @ $410.69
  TrendPenguin: BUY 1 NVO @ $47.94
  TrendPenguin: BUY 1 GLD @ $462.71
  TrendPenguin: SELL 1 SLV @ $72.81
  Volatility Breakout: SELL 1 NVDA @ $187.07
  Volatility Breakout: BUY 1 MSFT @ $397.80

Bar 25:
  BreakoutPenguin: SELL 1 AMD @ $202.10
  BreakoutPenguin: SELL 1 GLD @ $461.87
  BreakoutPenguin: SELL 1 GDXJ @ $138.63
  CarefulTrendPenguin: SELL 2 AMD @ $202.10
  MeanReversionPenguin: BUY 1 COPX @ $86.05
  MeanReversionPenguin: BUY 1 GDXJ @ $138.91
  RandomPenguin: SELL 1 SLV @ $72.85
  RandomPenguin2: SELL 1 NVDA @ $187.04
  RandomPenguin2: BUY 1 AAPL @ $260.04
  RandomPenguin2: SELL 1 AMD @ $202.10
  RandomPenguin2: SELL 1 GLD @ $461.87
  RandomPenguin2: BUY 1 SLV @ $72.99
  RSI Mean Reversion: BUY 1 GDXJ @ $138.91
  TrendPenguin: SELL 1 AAPL @ $259.52
  TrendPenguin: SELL 1 PLTR @ $134.77
  TrendPenguin: SELL 1 BE @ $157.34
  TrendPenguin: BUY 1 MSTR @ $129.83
  TrendPenguin: BUY 1 MSFT @ $397.89
  TrendPenguin: BUY 1 SLV @ $72.99
  TrendPenguin: SELL 1 COPX @ $85.88
  Volatility Breakout: BUY 1 NVDA @ $187.42
  Volatility Breakout: SELL 1 MSFT @ $397.09

Bar 26:
  BreakoutPenguin: BUY 1 NVDA @ $187.49
  BreakoutPenguin: SELL 1 AAPL @ $259.38
  BreakoutPenguin: SELL 1 AMD @ $202.05
  BreakoutPenguin: BUY 1 MSFT @ $397.77
  BreakoutPenguin: BUY 1 GLD @ $462.77
  BreakoutPenguin: BUY 1 SLV @ $73.02
  CarefulTrendPenguin: BUY 1 SLV @ $73.02
  RandomPenguin: BUY 1 MSTR @ $129.68
  RandomPenguin: SELL 1 GLD @ $461.85
  RandomPenguin2: SELL 1 NVDA @ $187.11
  RandomPenguin2: SELL 1 AAPL @ $259.38
  RandomPenguin2: SELL 1 AMD @ $202.05
  RandomPenguin2: SELL 1 MSTR @ $129.42
  RandomPenguin2: BUY 1 MSFT @ $397.77
  RandomPenguin2: BUY 1 TSLA @ $411.42
  RandomPenguin2: SELL 1 GLD @ $461.85
  RandomPenguin2: SELL 1 SLV @ $72.88
  TrendPenguin: BUY 1 NVDA @ $187.49
  TrendPenguin: SELL 1 AAPL @ $259.38
  TrendPenguin: SELL 1 MSTR @ $129.42
  TrendPenguin: SELL 1 MSFT @ $396.97
  TrendPenguin: SELL 1 GLD @ $461.85
  TrendPenguin: BUY 1 SLV @ $73.02
  Volatility Breakout: SELL 1 NVDA @ $187.11
  Volatility Breakout: SELL 1 AAPL @ $259.38
  Volatility Breakout: SELL 1 AMD @ $202.05
  Volatility Breakout: BUY 1 MSFT @ $397.77

Bar 27:
  BreakoutPenguin: BUY 1 NVDA @ $187.53
  BreakoutPenguin: BUY 1 MP @ $58.43
  BreakoutPenguin: BUY 1 NVO @ $47.97
  BreakoutPenguin: SELL 1 GLD @ $461.84
  BreakoutPenguin: BUY 1 SLV @ $73.05
  CarefulTrendPenguin: BUY 1 SLV @ $73.05
  MeanReversionPenguin: BUY 1 COPX @ $86.12
  Moving Average Crossover: BUY 1 NVDA @ $187.53
  RandomPenguin: BUY 1 NVDA @ $187.53
  RandomPenguin: BUY 1 MSTR @ $129.90
  RandomPenguin: BUY 1 NVO @ $47.97
  RandomPenguin: BUY 1 SLV @ $73.05
  RandomPenguin2: SELL 1 MSFT @ $397.20
  RandomPenguin2: BUY 1 TSLA @ $411.46
  RandomPenguin2: BUY 1 NVO @ $47.97
  RandomPenguin2: BUY 1 GLD @ $462.76
  TrendPenguin: BUY 1 NVDA @ $187.53
  TrendPenguin: BUY 1 PLTR @ $135.21
  TrendPenguin: BUY 1 MP @ $58.43
  TrendPenguin: BUY 1 MSTR @ $129.90
  TrendPenguin: BUY 1 MSFT @ $398.00
  TrendPenguin: BUY 1 TSLA @ $411.46
  TrendPenguin: SELL 1 GLD @ $461.84
  TrendPenguin: BUY 1 SLV @ $73.05
  TrendPenguin: BUY 1 COPX @ $86.12
  Volatility Breakout: BUY 1 NVDA @ $187.53
  Volatility Breakout: BUY 1 MP @ $58.43
  Volatility Breakout: SELL 1 MSFT @ $397.20
  Volatility Breakout: BUY 1 NVO @ $47.97
  Volatility Breakout: BUY 1 SLV @ $73.05

Bar 28:
  BreakoutPenguin: BUY 1 NVDA @ $187.61
  BreakoutPenguin: BUY 1 PLTR @ $135.24
  BreakoutPenguin: SELL 1 MSFT @ $397.29
  BreakoutPenguin: BUY 1 TSLA @ $411.91
  BreakoutPenguin: SELL 1 GLD @ $461.73
  BreakoutPenguin: BUY 1 SLV @ $73.04
  BreakoutPenguin: BUY 1 SIL @ $104.10
  CarefulTrendPenguin: SELL 3 GLD @ $461.73
  MeanReversionPenguin: BUY 1 SIL @ $104.10
  Moving Average Crossover: BUY 1 SLV @ $73.04
  RandomPenguin: SELL 1 MSTR @ $129.77
  RandomPenguin: BUY 1 SLV @ $73.04
  RandomPenguin2: BUY 1 AMD @ $202.64
  RandomPenguin2: SELL 1 TSLA @ $411.09
  RandomPenguin2: BUY 1 GLD @ $462.65
  RSI Mean Reversion: BUY 1 SIL @ $104.10
  TrendPenguin: BUY 1 NVDA @ $187.61
  TrendPenguin: BUY 1 PLTR @ $135.24
  TrendPenguin: SELL 1 SLV @ $72.90
  TrendPenguin: SELL 1 SIL @ $103.89
  Volatility Breakout: BUY 1 AAPL @ $260.03
  Volatility Breakout: BUY 1 MSFT @ $398.09
  Volatility Breakout: BUY 1 TSLA @ $411.91
  Volatility Breakout: SELL 1 GLD @ $461.73

Bar 29:
  BreakoutPenguin: BUY 1 NVDA @ $187.60
  BreakoutPenguin: BUY 1 PLTR @ $135.38
  BreakoutPenguin: SELL 1 GLD @ $461.67
  BreakoutPenguin: BUY 1 SLV @ $73.04
  CarefulTrendPenguin: BUY 1 MSTR @ $130.31
  CarefulTrendPenguin: BUY 1 MSFT @ $398.20
  CarefulTrendPenguin: BUY 1 TSLA @ $411.93
  MeanReversionPenguin: BUY 1 COPX @ $86.12
  Moving Average Crossover: BUY 1 MP @ $58.38
  Moving Average Crossover: BUY 1 MSFT @ $398.20
  Moving Average Crossover: BUY 1 NVO @ $48.00
  RandomPenguin: SELL 1 AAPL @ $259.66
  RandomPenguin: BUY 1 PLTR @ $135.38
  RandomPenguin: SELL 1 TSLA @ $411.11
  RandomPenguin: SELL 1 NVO @ $47.90
  RandomPenguin: BUY 1 GLD @ $462.59
  RandomPenguin: BUY 1 SLV @ $73.04
  RandomPenguin: BUY 1 COPX @ $86.12
  RandomPenguin2: SELL 1 NVDA @ $187.22
  RandomPenguin2: BUY 1 MSTR @ $130.31
  RandomPenguin2: SELL 1 TSLA @ $411.11
  RandomPenguin2: BUY 1 NVO @ $48.00
  RandomPenguin2: SELL 1 GLD @ $461.67
  RandomPenguin2: BUY 1 COPX @ $86.12
  TrendPenguin: SELL 1 NVDA @ $187.22
  TrendPenguin: BUY 1 AAPL @ $260.18
  TrendPenguin: SELL 1 MP @ $58.26
  TrendPenguin: BUY 1 MSTR @ $130.31
  Volatility Breakout: BUY 1 AMD @ $202.75
  Volatility Breakout: BUY 1 NOC @ $743.74
  Volatility Breakout: BUY 1 GLD @ $462.59

Bar 30:
  BreakoutPenguin: SELL 1 NVDA @ $186.91
  BreakoutPenguin: SELL 1 AAPL @ $259.10
  BreakoutPenguin: SELL 1 TSLA @ $410.35
  BreakoutPenguin: SELL 1 NVO @ $47.85
  BreakoutPenguin: BUY 1 GLD @ $462.72
